time,lat,lon,altitude,command_vel,command_gamma,command_sigma,command_airspeed
5.04999999999999,36.2434,-112.2822,7000.0,84.3905,0.0,0.0,84.3905
5.09999999999999,36.24341155867324,-112.2822,6999.919587974597,84.3905,0.0,0.0,84.3905
5.14999999999999,36.24342311363767,-112.2822,6999.75902619575,84.3905,0.0,0.0,84.3905
5.1999999999999895,36.2434346649635,-112.2822,6999.518784323139,84.3905,0.0,0.0,84.3905
5.249999999999989,36.243446212794545,-112.2822,6999.199512644962,84.3905,0.0,0.0,84.3905
5.299999999999989,36.24345775736746,-112.2822,6998.802017386822,84.3905,0.0,0.0,84.3905
5.349999999999989,36.24346929902588,-112.2822,6998.3272380011285,84.3905,0.0,0.0,84.3905
5.399999999999989,36.243480838230056,-112.2822,6997.776226354693,84.3905,0.0,0.0,84.3905
5.449999999999989,36.243492375562376,-112.2822,6997.150127734049,84.3905,0.0,0.0,84.3905
5.4999999999999885,36.24350391172953,-112.2822,6996.450163587664,84.3905,0.0,0.0,84.3905
5.549999999999988,36.2435154475617,-112.2822,6995.677615922466,84.3905,0.0,0.0,84.3905
5.599999999999988,36.24352698400921,-112.2822,6994.8338132698655,84.3905,0.0,0.0,84.3905
5.649999999999988,36.24353852213729,-112.2822,6993.920118134042,84.3905,0.0,0.0,84.3905
5.699999999999988,36.24355006311919,-112.2822,6992.937915833359,84.3905,0.0,0.0,84.3905
5.749999999999988,36.24356160822801,-112.2822,6991.888604644351,84.3905,0.0,0.0,84.3905
5.799999999999987,36.243573158827836,-112.2822,6990.773587157225,84.3905,0.0,0.0,84.3905
5.849999999999987,36.243584716364055,-112.2822,6989.59426275207,84.3905,0.0,0.0,84.3905
5.899999999999987,36.24359628235357,-112.2822,6988.352021106181,84.3905,0.0,0.0,84.3905
5.949999999999987,36.24360785837472,-112.2822,6987.048236644846,84.3905,0.0,0.0,84.3905
5.999999999999987,36.24361944605742,-112.2822,6985.684263850685,84.3905,0.0,0.0,84.3905
6.0499999999999865,36.24363104707339,-112.2822,6984.26143334997,84.3905,0.0,0.0,84.3905
6.099999999999986,36.24364266312683,-112.2822,6982.781048698199,84.3905,0.0,0.0,84.3905
6.149999999999986,36.243654295945475,-112.2822,6981.244383791459,84.3905,0.0,0.0,84.3905
6.199999999999986,36.2436659472722,-112.2822,6979.652680834625,84.3905,0.0,0.0,84.3905
6.249999999999986,36.24367761885712,-112.2822,6978.007148802151,84.3905,0.0,0.0,84.3905
6.299999999999986,36.243689312450336,-112.2822,6976.308962331959,84.3905,0.0,0.0,84.3905
6.349999999999985,36.24370102979525,-112.2822,6974.5592609976975,84.3905,0.0,0.0,84.3905
6.399999999999985,36.24371277262248,-112.2822,6972.759148909315,84.3905,0.0,0.0,84.3905
6.449999999999985,36.243724542644465,-112.2822,6970.909694596418,84.3905,0.0,0.0,84.3905
6.499999999999985,36.2437363415505,-112.2822,6969.011931133247,84.3905,0.0,0.0,84.3905
6.549999999999985,36.24374817100252,-112.2822,6967.066856468198,84.3905,0.0,0.0,84.3905
6.5999999999999845,36.24376003263128,-112.2822,6965.075433924759,84.3905,0.0,0.0,84.3905
6.649999999999984,36.24377192803312,-112.2822,6963.038592844299,84.3905,0.0,0.0,84.3905
6.699999999999984,36.2437838587672,-112.2822,6960.957229344556,84.3905,0.0,0.0,84.3905
6.749999999999984,36.243795826353185,-112.2822,6958.832207170727,84.3905,0.0,0.0,84.3905
6.799999999999984,36.24380783226933,-112.2822,6956.664358618946,84.3905,0.0,0.0,84.3905
6.849999999999984,36.24381987795096,-112.2822,6954.454485514458,84.3905,0.0,0.0,84.3905
6.8999999999999835,36.243831964789294,-112.2822,6952.203360229185,84.3905,0.0,0.0,84.3905
6.949999999999983,36.24384409413057,-112.2822,6949.911726725448,84.3905,0.0,0.0,84.3905
6.999999999999983,36.24385626727548,-112.2822,6947.580301614503,84.3905,0.0,0.0,84.3905
7.049999999999983,36.243868485478856,-112.2822,6945.209775220256,84.3905,0.0,0.0,84.3905
7.099999999999983,36.24388074994952,-112.2822,6942.800812639983,84.3905,0.0,0.0,84.3905
7.149999999999983,36.24389306185043,-112.2822,6940.354054795224,84.3905,0.0,0.0,84.3905
7.199999999999982,36.24390542229896,-112.2822,6937.870119467213,84.3905,0.0,0.0,84.3905
7.249999999999982,36.2439178323673,-112.2822,6935.349602312165,84.3905,0.0,0.0,84.3905
7.299999999999982,36.243930293083025,-112.2822,6932.793077852722,84.3905,0.0,0.0,84.3905
7.349999999999982,36.24394280542978,-112.2822,6930.201100442569,84.3905,0.0,0.0,84.3905
7.399999999999982,36.24395537034804,-112.2822,6927.574205201955,84.3905,0.0,0.0,84.3905
7.4499999999999815,36.24396798873594,-112.2822,6924.9129089224025,84.3905,0.0,0.0,84.3905
7.499999999999981,36.24398066145024,-112.2822,6922.217710939434,84.3905,0.0,0.0,84.3905
7.549999999999981,36.24399338930724,-112.2822,6919.489093972518,84.3905,0.0,0.0,84.3905
7.599999999999981,36.24400617308383,-112.2822,6916.727524931851,84.3905,0.0,0.0,84.3905
7.649999999999981,36.24401901351848,-112.2822,6913.93345569186,84.3905,0.0,0.0,84.3905
7.699999999999981,36.2440319057018,-112.28219988098593,6911.101880934834,153.59071,0.03490658503988659,1.7976891295541595,153.59071
7.7499999999999805,36.244044857905145,-112.28219963094129,6908.23636624567,153.59071,0.03490658503988659,1.7976891295541595,153.59071
7.79999999999998,36.24405787725274,-112.28219923901837,6905.340135954839,153.59071,0.03490658503988659,1.7976891295541595,153.59071
